date, pm25, pm10, o3, no2, so2, co
15/12/2024,56,13,20,17, , 
16/12/2024,31,20,21,21, , 
17/12/2024,42,26,21,18, , 
18/12/2024,49,15,25,15, , 
19/12/2024,36,22,19,20, , 
20/12/2024,47,18,23,14, , 
21/12/2024,37,16,29,11, , 
22/12/2024,34,29,25,13, , 
23/12/2024,53,19,21,24, , 
24/12/2024,42,22,14,19, , 
25/12/2024,69,21,12,18, , 
26/12/2024,53,35,2,25, , 
27/12/2024,83,23,5,14, , 
28/12/2024,68,29,9,17, , 
29/12/2024,74, , , , , 
01/07/2024,40,21,25,10, , 
02/07/2024,44,25,28,12, , 
03/07/2024,42,20,30,10, , 
04/07/2024,32,31,28,21, , 
05/07/2024,46,22,28,15, , 
06/07/2024,36,18,27,14, , 
07/07/2024,31,33,28,28, , 
08/07/2024,52,33,28,23, , 
09/07/2024,54,18,26,13, , 
10/07/2024,36,24,29,18, , 
11/07/2024,41,14,25,12, , 
12/07/2024,43,18,31,25, , 
13/07/2024,53,23,33,24, , 
14/07/2024,70,27,32,22, , 
15/07/2024,57,20,27,12, , 
16/07/2024,37,26,42,28, , 
17/07/2024,46,31,41,35, , 
18/07/2024,59,40,51,37, , 
19/07/2024,63,26,42,17, , 
20/07/2024,50,16,30,11, , 
21/07/2024,44,18,27,10, , 
22/07/2024,38,17,23,10, , 
23/07/2024,38,24,34,22, , 
24/07/2024,50,29,38,24, , 
25/07/2024,54,20,18,15, , 
26/07/2024,49,20,15,18, , 
27/07/2024,50,19,32,19, , 
28/07/2024,44,24,39,25, , 
29/07/2024,54,44,72,36, , 
30/07/2024,82,37,40,30, , 
31/07/2024,74,32,37,25, , 
01/08/2024,62,28,41,13, , 
02/08/2024,58,16,26,9, , 
03/08/2024,37,23,33,7, , 
04/08/2024,44,29,44,24, , 
05/08/2024,72,25,32,21, , 
06/08/2024,56,15,33,7, , 
07/08/2024,32,25,38,21, , 
08/08/2024,48,18,26,13, , 
09/08/2024,32,21,41,20, , 
10/08/2024,51,19,34,19, , 
11/08/2024,54,26,49,28, , 
12/08/2024,61,22,29,14, , 
13/08/2024,52,20,30,21, , 
14/08/2024,52,12,31,8, , 
15/08/2024,34,20,19,11, , 
16/08/2024,29,12,21,13, , 
17/08/2024,38,12,25,5, , 
18/08/2024,35,23,35,22, , 
19/08/2024,50,21,27,15, , 
20/08/2024,50,15,27,12, , 
21/08/2024,31,21,33,22, , 
22/08/2024,43,20,24,13, , 
23/08/2024,36,19,31,14, , 
24/08/2024,44,18,30,11, , 
25/08/2024,33,22,33,20, , 
26/08/2024,53,27,41,29, , 
27/08/2024,98,33,42,32, , 
28/08/2024,78,44,29,11, , 
29/08/2024,49,61,22,17, , 
30/08/2024,50,48,26,19, , 
31/08/2024,64,41,37,23, , 
01/09/2024,59,25,33,20, , 
02/09/2024,45,17,26,18, , 
03/09/2024,33,16,31,13, , 
04/09/2024,35,13,28,15, , 
05/09/2024,41,24,31,27, , 
06/09/2024,52,21,32,24, , 
07/09/2024,45,11,32,20, , 
08/09/2024,29,13,24,11, , 
09/09/2024,30,20,24,12, , 
10/09/2024,36,17,25,11, , 
11/09/2024,31,14,23,15, , 
12/09/2024,32,12,23,11, , 
13/09/2024,33,19,31,26, , 
14/09/2024,47,20,34,24, , 
15/09/2024,53,22,29,18, , 
16/09/2024,46,24,29,18, , 
17/09/2024,49,47,32,21, , 
18/09/2024,113,44,40,26, , 
19/09/2024,97,37,34,30, , 
20/09/2024,72,25,31,29, , 
21/09/2024,58,21,26,24, , 
22/09/2024,56,22,35,28, , 
23/09/2024,53,17,27,19, , 
24/09/2024,43,17,24,28, , 
25/09/2024,53,15,26,22, , 
26/09/2024,35,15,27,15, , 
27/09/2024,35,17,24,16, , 
28/09/2024,44,21,20,24, , 
29/09/2024,60,14,24,14, , 
30/09/2024,29,17,27,16, , 
01/04/2024,31,22,33,23, , 
02/04/2024,37,19,34,22, , 
03/04/2024,30,21,32,18, , 
04/04/2024,41,25,26,31, , 
05/04/2024,53,31,34,31, , 
06/04/2024,51,19,38,21, , 
07/04/2024,41,32,35,27, , 
08/04/2024,56,24,35,17, , 
09/04/2024,31,27,37,26, , 
10/04/2024,47,40,23,27, , 
11/04/2024,51,37,33,28, , 
12/04/2024,63,32,33,27, , 
13/04/2024,56,19,31,12, , 
14/04/2024,35,37,36,11, , 
15/04/2024,31,21,32,11, , 
16/04/2024,32,19,31,13, , 
17/04/2024,26,21,33,22, , 
18/04/2024,37,28,29,18, , 
19/04/2024,44,24,31,15, , 
