date, pm25, pm10, o3, no2, so2, co
2024/11/7, 18, 8, 30, 11, , 3
2024/11/8, 22, 11, 33, 11, , 2
2024/11/9, 34, 14, 30, 6, , 2
2024/11/10, 46, 11, 21, 11, , 2
2024/11/11, 39, 14, 24, 18, , 3
2024/11/12, 40, 14, 37, 8, , 2
2024/11/13, 42, 21, 24, 11, , 2
2024/11/14, 54, 18, 17, 14, , 4
2024/11/15, 55, 16, 22, 12, , 3
2024/11/16, 51, 12, 35, 9, , 3
2024/11/17, 30, 4, 29, 5, , 2
2024/11/18, 10, 4, 31, 4, , 2
2024/11/19, 12, 8, 20, 11, , 2
2024/11/20, 35, 6, 15, 10, , 4
2024/11/21, 22, 11, 19, 18, , 4
2024/11/22, 40, 3, 30, 4, , 2
2024/11/23, 12, 4, 28, 5, , 2
2024/11/24, 13, 5, 26, 11, , 4
2024/11/25, 19, 13, 15, 19, , 3
2024/11/26, 51, 9, 22, 11, , 3
2024/11/27, 45, 7, 30, , , 2
2024/11/29, 15, 7, 25, 16, , 3
2024/11/30, 24, 6, 26, 11, , 3
2024/12/1, 21, 7, 20, 17, , 3
2024/12/2, 27, 13, 23, 23, , 4
2024/12/3, 51, 12, 31, 14, , 3
2024/12/4, 39, 8, 19, 17, , 3
2024/12/5, 30, 7, 29, 11, , 3
2024/12/6, 19, 5, 24, 12, , 2
2024/12/7, 19, 3, 29, 5, , 2
2024/12/8, 15, 4, 28, 8, , 2
2024/12/9, 16, 7, 22, 17, , 3
2024/12/10, 21, 7, 28, 15, , 4
2024/12/11, 26, 4, 30, 4, , 
2024/12/12, 12, 13, 13, 23, , 3
2024/12/13, 45, 9, 33, 11, , 3
2024/12/14, 30, 6, 27, 16, , 3
2024/12/15, 25, 10, 21, 26, , 5
2024/12/16, 40, 11, 22, 24, , 5
2024/12/17, 46, 7, 26, 14, , 4
2024/12/18, 30, 4, 27, 7, , 
2024/12/19, 16, 6, 17, 20, , 3
2024/12/20, 23, 10, , 16, , 3
2024/12/21, 39, 5, , 6, , 2
2024/12/22, 18, 3, 12, 10, , 2
2024/12/23, 17, , 28, 11, , 2
2024/12/24, 18, 11, 22, 20, , 4
2024/12/25, 33, 11, 19, 20, , 3
2024/12/26, 40, 4, 28, 9, , 2
2024/12/27, 13, 5, 25, 14, , 3
2024/12/28, 24, 5, 28, 10, , 2
2024/12/29, 23, , , , , 
2024/7/1, 24, 17, 76, 8, , 2
2024/7/2, 39, 23, 92, 6, , 2
2024/7/3, 56, 32, 84, 10, , 2
2024/7/4, 72, 28, 109, 8, , 2
2024/7/5, 67, 31, 89, 6, , 2
2024/7/6, 68, 22, 20, 7, , 2
2024/7/7, 43, 33, 98, 9, , 2
2024/7/8, 73, 27, 36, 8, , 2
2024/7/9, 65, 17, 60, 8, , 1
2024/7/10, 44, 12, 29, 6, , 2
2024/7/11, 34, 10, 33, 8, , 
2024/7/12, 20, 11, 55, 6, , 
2024/7/13, 28, 14, 36, 5, , 2
2024/7/14, 35, 17, 45, 3, , 2
2024/7/15, 37, 23, 39, 7, , 2
2024/7/16, 54, 17, 91, 6, , 2
2024/7/17, 44, 21, 79, 9, , 2
2024/7/18, 49, 19, 32, 5, , 1
2024/7/19, 43, 26, 60, 6, , 1
2024/7/20, 56, 19, 62, 2, , 2
2024/7/21, 50, 27, 72, 5, , 2
2024/7/22, 60, 23, 78, 6, , 
2024/7/23, 51, 18, 40, 7, , 1
2024/7/24, 42, 20, 75, 9, , 2
2024/7/25, 43, 15, 53, 6, , 1
2024/7/26, 38, 18, 81, 8, , 2
2024/7/27, 41, 13, 35, 4, , 1
2024/7/28, 40, 14, 49, 3, , 1
2024/7/29, 38, 13, 33, 5, , 1
2024/7/30, 29, , 55, 4, , 2
2024/8/1, 33, 14, 58, 5, , 
2024/8/2, 38, 19, 110, 6, , 2
2024/8/3, 49, 14, 90, 4, , 2
2024/8/4, 38, 18, 89, 7, , 2
2024/8/5, 43, 17, 53, 8, , 2
2024/8/6, 41, 10, 38, 6, , 1
2024/8/7, 24, 14, 51, 8, , 2
2024/8/8, 32, 9, 33, 4, , 1
2024/8/9, 24, 12, 31, 4, , 2
2024/8/10, 37, 17, 52, 3, , 1
2024/8/11, 45, 19, 44, 2, , 1
2024/8/12, 48, 24, 45, 1, , 2
2024/8/13, 60, 21, 37, 3, , 1
2024/8/14, 49, 11, 32, 3, , 1
2024/8/15, 33, 13, 12, 2, , 
2024/8/16, 22, 11, 39, 3, , 1
2024/8/17, 27, 22, 61, 3, , 2
2024/8/18, 51, 17, 52, 5, , 1
2024/8/19, 41, 12, 36, 6, , 2
2024/8/20, 27, 20, 62, 7, , 2
2024/8/21, 48, 16, 25, 9, , 2
2024/8/22, 41, 12, 31, 2, , 
2024/8/23, 29, 11, 35, 3, , 
2024/8/24, 26, 8, 23, 2, , 1
2024/8/25, 17, 7, 18, 2, , 
2024/8/26, 15, 11, 12, 2, , 
2024/8/27, 19, 10, 20, 3, , 1
2024/8/28, 18, 11, 14, 7, , 1
2024/8/29, 20, 8, 6, 7, , 1
2024/8/30, 11, 12, 23, 3, , 1
2024/8/31, 23, 11, 23, 3, , 1
2024/9/1, 17, 11, 31, 2, , 1
2024/9/2, 25, 11, 31, 5, , 
2024/9/3, 25, 10, 41, 3, , 
2024/9/4, 26, 13, 47, 6, , 1
2024/9/5, 33, 21, 85, 7, , 2
2024/9/6, 47, 26, 75, 6, , 2
2024/9/7, 61, 20, 64, 4, , 2
2024/9/8, 48, 14, 34, 6, , 1
2024/9/9, 32, 10, 25, 7, , 1
2024/9/10, 24, 10, 35, 4, , 1
2024/9/11, 23, 15, 35, 5, , 1
2024/9/12, 30, 8, 27, 3, , 1
2024/9/13, 22, 8, 19, 2, , 
2024/9/14, 19, 10, 19, 1, , 1
2024/9/15, 23, 9, 24, 3, , 1
2024/9/16, 22, 15, 42, 4, , 2
2024/9/17, 35, 15, 43, 6, , 1
2024/9/18, 36, 13, 42, 7, , 2
2024/9/19, 33, 19, 60, 10, , 2
2024/9/20, 46, 18, 30, 8, , 2
2024/9/21, 42, 11, 21, 4, , 2
2024/9/22, 21, 7, 27, 2, , 2
2024/9/23, 15, 9, 34, 3, , 2
2024/9/24, 22, 9, 31, 4, , 2
2024/9/25, 25, 10, 42, 7, , 2
2024/9/26, 22, 14, 25, 9, , 2
2024/9/27, 31, 13, 32, 5, , 
2024/9/28, 32, 12, 26, 3, , 1
2024/9/29, 29, 12, 36, 5, , 2
2024/9/30, 32, 13, 33, 7, , 2
2024/4/1, 58, 16, 52, 7, , 2
2024/4/2, 51, 21, 22, 20, , 3
2024/4/3, 72, 9, 44, 13, , 3
